Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Des Moines,112,4649,2263,Omaha,106,4298,2366,135
Oklahoma,86,4136,3580,Atoka,77,4371,3791,135
Syracuse,134,7112,1509,Scranton,79,7272,1810,135
Tulsa,121,4374,3420,Atoka,77,4371,3791,135
Bakersfield,54,695,3388,Barstow,79,999,3543,136
Colima,50,860,1005,Playa Azul,100,973,1070,136
Flagstaff,59,1865,3591,Phoenix,92,1767,3923,136
Omaha,106,4298,2366,St. Joseph,140,4489,2669,136
Vero Beach,147,7187,4759,Miami,87,7302,5105,136
Yosemite Natïl Park,146,730,2902,Bishop,60,860,3002,136
Memphis,60,5337,3549,Little Rock,138,4970,3681,137
Page,114,1980,3283,Flagstaff,59,1865,3591,137
Biggs,119,802,1213,Bend,147,659,1526,138
Carlsbad,94,3119,4234,Ft. Stockton,135,3273,4532,138
Green Bay,100,5369,1550,Madison,59,5226,1880,138
Bend,147,659,1526,Klamath Falls,136,520,1873,139
Brownwood,113,3843,4316,Austin,129,4138,4658,139
Eugene,138,415,1465,Grants Pass,146,309,1790,139
Gallup,113,2327,3565,Albuquerque,105,2666,3670,139
Page,114,1980,3283,Grand Canyon,112,1802,3407,139
Vernon,142,3856,3863,Cisco,85,3849,4194,139
Bend,147,659,1526,Lakeview,134,759,1942,140
Burns,56,962,1686,Lakeview,134,759,1942,140
Oaxaca,100,4483,7539,Tehuac n,53,4376,7283,140
Savannah,78,6885,3887,Jacksoville,126,6858,4266,140
Wells,66,1498,2291,Ely,63,1458,2684,140
Cleveland,73,6409,2005,Columbus,137,6277,2348,141
La Crosse,130,4942,1762,Madison,59,5226,1880,141
Little Rock,138,4970,3681,Texarkana,134,4714,3940,141
New York,136,7549,1877,Atlantic City,60,7545,2177,141
Scranton,79,7272,1810,New York,136,7549,1877,141
Klamath Falls,136,520,1873,Redding,75,372,2197,142
Saginaw,122,6003,1680,Toledo,146,6129,2021,142
Chattanoga,107,6109,3410,Birmigham,131,5888,3809,143
Peoria,142,5251,2375,Hannibal,80,5017,2613,143
Barstow,79,999,3543,Needles,133,1382,3603,144
Blythe,118,1350,3846,Phoenix,92,1767,3923,144
Fargo,56,4106,1214,Watertown SD,57,4121,1606,144
Toledo,146,6129,2021,Columbus,137,6277,2348,144
Madison,59,5226,1880,Chicago,56,5512,2095,145
Mller City,117,2874,1317,Billings,139,2502,1417,145
Birmigham,131,5888,3809,Meridian,126,5611,4094,146
Lake Charles,142,4912,4620,Houston,131,4549,4737,146
Albany,144,7458,1488,Syracuse,134,7112,1509,147
Kearney,101,3633,2510,Hays,69,3762,2836,147
Mackinaw,146,5806,1227,Escanaba,123,5458,1279,147
Nogales,121,1912,4380,Santa Ana,60,1838,4499,147
Atlanta,94,6280,3650,Birmigham,131,5888,3809,148
Atlantic City,60,7545,2177,Baltimore,105,7297,2242,148
Des Moines,112,4649,2263,Albert Lea,67,4640,1828,148
Mobile,89,5771,4427,New Orleans,126,5444,4615,148
Richmond,52,7221,2646,Raleigh,69,7126,3047,148
Sheridan,55,2709,1640,cody,126,2491,1667,148
Tallahassee,57,6415,4323,Gainesville,74,6769,4480,149
Concord,58,7694,1286,Albany,144,7458,1488,150
Dakley,142,3524,2840,Great Bend,61,3907,2987,150
Lincoln,98,4175,2476,St. Joseph,140,4489,2669,150
Rawlins,61,2637,2276,Cheyenne,112,3003,2422,150
San Antonio,109,4012,4842,Laredo TX,78,3850,5231,150
St. Louis,127,5217,2808,Cairo,66,5433,3109,150
Atlanta,94,6280,3650,Augusta,115,6679,3639,151
St. Louis,127,5217,2808,Poplar Bluff,136,5248,3196,151
Tifton,92,6505,4099,Gainesville,74,6769,4480,151
Wet Glacier,124,1884,885,Missoula,82,1784,1115,151
Denver,125,2965,2706,Kit Carson,68,3279,2926,152
Ft. Scott,69,4545,3064,Wichita,54,4139,3126,152
Ft.Mayers,99,6987,5010,Miami,87,7302,5105,152
Montgomery,91,6013,4028,Meridian,126,5611,4094,152
Craig,144,2573,2536,Grand Junction,132,2416,2832,153
Duluth,92,4745,1167,Eau Claire,101,4875,1552,153
Sheridan,55,2709,1640,Casper,57,2787,2059,153
Dodge City,56,3716,3125,Wichita,54,4139,3126,154
Eureka,52,119,2102,Redding,75,372,2197,154
Syracuse,134,7112,1509,Buffalo,104,6755,1643,154
Columbia,148,6811,3497,Savannah,78,6885,3887,155
Las Vegas,51,1335,3328,Barstow,79,999,3543,155
San Angelo,122,3670,4425,Del Rio,138,3597,4844,155
Sioux City,82,4227,2117,Lincoln,98,4175,2476,155
Del Rio,138,3597,4844,San Antonio,109,4012,4842,156
Duluth,92,4745,1167,Minneapolis,77,4662,1555,156
Ft. Wayne,134,5916,2189,Columbus,137,6277,2348,156
Grand Rapids,138,5773,1811,Detroit,114,6166,1872,156
M‚xico,132,4057,7037,Tlaxcala,100,4216,7024,156
Asheville,69,6524,3228,Columbia,148,6811,3497,157
Dallas,96,4276,4124,Brownwood,113,3843,4316,157
Wichita,54,4139,3126,Oklahoma City,122,4136,3580,157
Ft. Scott,69,4545,3064,Tulsa,121,4374,3420,158
North Platte,132,3435,2415,Dakley,142,3524,2840,158
Tucson,88,1924,4189,Lordsburg,61,2305,4193,158
Aberdeen,70,3902,1510,Pierre,104,3653,1727,159
Albany,144,7458,1488,New York,136,7549,1877,159
Corpus Christi,109,4193,5160,Brownsville,83,4206,5550,159
Poplar Bluff,136,5248,3196,Memphis,60,5337,3549,159
Ft. Smith,145,4631,3583,Little Rock,138,4970,3681,160
